version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,92315000,-241820209.27,538577270.0,240575965.21,0,2826.8
0,0,92316000,-241820165.21,538577298.07,240575864.57,0,2788.5
0,0,92317000,-241820122.35,538577327.06,240575777.84,0,2753.0
0,0,92318000,-241820076.82,538577365.35,240575703.08,0,2724.6
0,0,92319000,-241820033.84,538577418.18,240575636.63,0,2690.7
0,0,92320000,-241819991.76,538577460.1,240575560.61,0,2659.6
0,0,92321000,-241819944.05,538577498.68,240575474.41,0,2630.1
0,0,92322000,-241819910.18,538577540.71,240575382.67,0,2609.4
0,0,92323000,-241819874.45,538577586.35,240575290.0,0,2588.7
0,0,92324000,-241819851.77,538577620.89,240575216.79,0,2561.5
0,0,92325000,-241819826.9,538577661.26,240575157.39,0,2533.9
0,0,92326000,-241819793.6,538577699.73,240575116.28,0,2512.3
0,0,92327000,-241819791.74,538577752.33,240575088.88,0,2488.3
0,0,92328000,-241819782.87,538577778.18,240575010.73,0,2467.5
0,0,92329000,-241819771.97,538577816.05,240574927.54,0,2440.0
0,0,92330000,-241819767.43,538577854.83,240574846.18,0,2417.7
0,0,92331000,-241819775.68,538577888.71,240574767.75,0,2400.1
0,0,92332000,-241819801.28,538577899.05,240574697.45,0,2384.1
0,0,92333000,-241819866.98,538577902.23,240574643.35,0,2369.3
0,0,92334000,-241819933.93,538577886.79,240574599.9,0,2354.2
0,0,92335000,-241819993.33,538577875.76,240574557.75,0,2338.4
0,0,92336000,-241820047.92,538577865.04,240574514.83,0,2326.3
0,0,92337000,-241820094.6,538577847.86,240574484.03,0,2311.1
0,0,92338000,-241820140.02,538577823.36,240574483.97,0,2301.3
0,0,92339000,-241820178.56,538577792.68,240574500.06,0,2292.9
0,0,92340000,-241820218.89,538577751.44,240574546.81,0,2284.1
0,0,92341000,-241820267.49,538577701.37,240574627.29,0,2277.7
0,0,92342000,-241820305.91,538577643.9,240574715.9,0,2268.2
0,0,92343000,-241820343.49,538577581.72,240574804.77,0,2258.6
0,0,92344000,-241820386.5,538577533.88,240574890.22,0,2252.1
0,0,92345000,-241820436.0,538577467.59,240574976.05,0,2249.8
0,0,92346000,-241820489.51,538577391.97,240575062.88,0,2246.5
0,0,92347000,-241820538.78,538577331.26,240575154.91,0,2243.8
0,0,92348000,-241820591.59,538577281.95,240575259.22,0,2246.2
0,0,92349000,-241820634.8,538577207.58,240575346.93,0,2248.0
0,0,92350000,-241820685.52,538577148.75,240575427.12,0,2250.4
0,0,92351000,-241820742.35,538577102.25,240575505.83,0,2251.3
0,0,92352000,-241820795.1,538577039.83,240575581.76,0,2252.0
0,0,92353000,-241820851.09,538576969.96,240575662.78,0,2247.4
0,0,92354000,-241820910.86,538576917.81,240575757.03,0,2239.1
0,0,92355000,-241820967.44,538576858.77,240575849.36,0,2236.1
0,0,92356000,-241821012.74,538576788.43,240575929.13,0,2233.0
0,0,92357000,-241821051.87,538576734.35,240576007.29,0,2230.9
0,0,92358000,-241821087.2,538576685.4,240576079.4,0,2225.8
0,0,92359000,-241821123.11,538576643.35,240576150.86,0,2215.8
0,0,92360000,-241821160.96,538576585.37,240576231.47,0,2194.6
0,0,92361000,-241821208.85,538576530.89,240576289.61,0,2174.9
0,0,92362000,-241821268.81,538576491.92,240576328.09,0,2154.5
0,0,92363000,-241821317.27,538576439.95,240576371.82,0,2142.9
0,0,92364000,-241821346.52,538576390.36,240576451.95,0,2131.0
0,0,92365000,-241821339.96,538576339.45,240576555.98,0,2120.2
0,0,92366000,-241821327.06,538576295.05,240576660.17,0,2110.2
0,0,92367000,-241821315.07,538576248.52,240576750.1,0,2097.9
0,0,92368000,-241821307.27,538576208.76,240576840.16,0,2089.8
0,0,92369000,-241821310.14,538576162.29,240576930.95,0,2085.2
0,0,92370000,-241821312.54,538576110.44,240577030.75,0,2081.4
0,0,92371000,-241821312.59,538576043.85,240577131.95,0,2075.8
0,0,92372000,-241821303.86,538575979.72,240577226.48,0,2074.5
0,0,92373000,-241821293.56,538575934.93,240577325.16,0,2067.8
0,0,92374000,-241821281.28,538575872.77,240577417.74,0,2060.3
0,0,92375000,-241821263.92,538575789.61,240577494.83,0,2055.0
0,0,92376000,-241821262.23,538575720.75,240577578.12,0,2051.2
0,0,92377000,-241821269.28,538575671.31,240577659.09,0,2043.7
0,0,92378000,-241821265.48,538575632.58,240577744.5,0,2035.8
0,0,92379000,-241821264.77,538575585.28,240577826.91,0,2026.5
0,0,92380000,-241821285.73,538575519.17,240577908.56,0,2027.7
0,0,92381000,-241821329.51,538575443.0,240577975.1,0,2026.1
0,0,92382000,-241821391.59,538575379.08,240578030.41,0,2022.6
0,0,92383000,-241821455.89,538575318.21,240578078.7,0,2019.2
0,0,92384000,-241821521.83,538575254.34,240578119.66,0,2014.7
0,0,92385000,-241821593.06,538575189.2,240578159.04,0,2015.5
0,0,92386000,-241821671.16,538575130.22,240578206.59,0,2012.9
0,0,92387000,-241821749.25,538575071.69,240578261.23,0,2011.6
0,0,92388000,-241821819.76,538575000.77,240578308.24,0,2016.6
0,0,92389000,-241821888.97,538574947.93,240578348.37,0,2019.0
0,0,92390000,-241821971.47,538574899.3,240578393.95,0,2022.7
0,0,92391000,-241822056.51,538574847.98,240578429.43,0,2029.1
0,0,92392000,-241822146.76,538574793.45,240578452.25,0,2037.8
0,0,92393000,-241822248.49,538574731.74,240578462.92,0,2044.9
0,0,92394000,-241822363.34,538574680.97,240578463.17,0,2053.9
0,0,92395000,-241822475.31,538574632.89,240578439.48,0,2060.7
0,0,92396000,-241822583.33,538574591.56,240578400.69,0,2068.4
0,0,92397000,-241822684.98,538574562.87,240578355.88,0,2082.2
0,0,92398000,-241822771.89,538574545.62,240578302.58,0,2098.8
0,0,92399000,-241822856.97,538574553.68,240578254.74,0,2113.1
0,0,92400000,-241822943.37,538574556.28,240578183.56,0,2129.2
0,0,92401000,-241823023.6,538574546.35,240578103.56,0,2149.5
0,0,92402000,-241823110.47,538574551.69,240578019.68,0,2173.9
